Source,Target,Type,Weight
9,244,Undirected,1
9,249,Undirected,1
9,267,Undirected,1
9,314,Undirected,1
9,339,Undirected,1
9,346,Undirected,1
9,348,Undirected,1
9,359,Undirected,1
9,381,Undirected,1
9,385,Undirected,1
9,410,Undirected,1
9,443,Undirected,1
9,493,Undirected,1
9,494,Undirected,1
10,25,Undirected,1
10,86,Undirected,1
10,108,Undirected,1
10,123,Undirected,1
10,159,Undirected,1
10,192,Undirected,1
10,196,Undirected,1
10,211,Undirected,1
10,236,Undirected,1
10,238,Undirected,1
10,263,Undirected,1
10,309,Undirected,1
10,352,Undirected,1
10,358,Undirected,1
10,388,Undirected,1
10,404,Undirected,1
10,427,Undirected,1
10,437,Undirected,1
10,474,Undirected,1
11,24,Undirected,1
11,30,Undirected,1
11,31,Undirected,1
11,32,Undirected,1
11,87,Undirected,1
11,91,Undirected,1
11,131,Undirected,1
11,138,Undirected,1
11,155,Undirected,1
11,186,Undirected,1
11,197,Undirected,1
11,215,Undirected,1
11,225,Undirected,1
11,227,Undirected,1
11,266,Undirected,1
11,270,Undirected,1
11,291,Undirected,1
11,314,Undirected,1
11,326,Undirected,1
11,339,Undirected,1
11,381,Undirected,1
11,419,Undirected,1
11,422,Undirected,1
11,428,Undirected,1
11,443,Undirected,1
12,28,Undirected,1
12,62,Undirected,1
12,65,Undirected,1
12,77,Undirected,1
12,103,Undirected,1
12,146,Undirected,1
12,154,Undirected,1
12,164,Undirected,1
12,181,Undirected,1
12,223,Undirected,1
12,281,Undirected,1
12,315,Undirected,1
12,328,Undirected,1
12,355,Undirected,1
12,383,Undirected,1
12,388,Undirected,1
12,404,Undirected,1
12,423,Undirected,1
12,426,Undirected,1
12,427,Undirected,1
12,429,Undirected,1
12,431,Undirected,1
12,440,Undirected,1
12,456,Undirected,1
12,488,Undirected,1
13,42,Undirected,1
13,93,Undirected,1
13,102,Undirected,1
13,120,Undirected,1
13,123,Undirected,1
13,192,Undirected,1
13,200,Undirected,1
13,212,Undirected,1
13,236,Undirected,1
13,263,Undirected,1
13,299,Undirected,1
13,309,Undirected,1
13,322,Undirected,1
13,347,Undirected,1
13,358,Undirected,1
13,409,Undirected,1
13,413,Undirected,1
13,437,Undirected,1
13,446,Undirected,1
13,471,Undirected,1
14,66,Undirected,1
14,234,Undirected,1
14,237,Undirected,1
14,258,Undirected,1
14,278,Undirected,1
14,303,Undirected,1
14,370,Undirected,1
14,405,Undirected,1
14,416,Undirected,1
15,26,Undirected,1
15,47,Undirected,1
15,50,Undirected,1
15,82,Undirected,1
15,92,Undirected,1
15,100,Undirected,1
15,121,Undirected,1
15,174,Undirected,1
15,188,Undirected,1
15,295,Undirected,1
15,296,Undirected,1
15,308,Undirected,1
15,318,Undirected,1
15,337,Undirected,1
15,376,Undirected,1
15,384,Undirected,1
15,385,Undirected,1
15,393,Undirected,1
15,424,Undirected,1
15,461,Undirected,1
15,473,Undirected,1
15,477,Undirected,1
15,489,Undirected,1
15,493,Undirected,1
16,24,Undirected,1
16,33,Undirected,1
16,34,Undirected,1
16,49,Undirected,1
16,79,Undirected,1
16,113,Undirected,1
16,130,Undirected,1
16,172,Undirected,1
16,199,Undirected,1
16,219,Undirected,1
16,220,Undirected,1
16,222,Undirected,1
16,231,Undirected,1
16,235,Undirected,1
16,326,Undirected,1
16,367,Undirected,1
16,379,Undirected,1
16,403,Undirected,1
16,439,Undirected,1
16,445,Undirected,1
16,457,Undirected,1
16,482,Undirected,1
16,483,Undirected,1
17,18,Undirected,1
17,19,Undirected,1
17,22,Undirected,1
17,55,Undirected,1
17,70,Undirected,1
17,72,Undirected,1
17,99,Undirected,1
17,124,Undirected,1
17,125,Undirected,1
17,135,Undirected,1
17,150,Undirected,1
17,205,Undirected,1
17,271,Undirected,1
17,283,Undirected,1
17,301,Undirected,1
17,302,Undirected,1
17,332,Undirected,1
17,345,Undirected,1
17,389,Undirected,1
17,401,Undirected,1
17,408,Undirected,1
17,412,Undirected,1
17,430,Undirected,1
17,432,Undirected,1
17,433,Undirected,1
17,441,Undirected,1
17,442,Undirected,1
17,459,Undirected,1
17,462,Undirected,1
17,485,Undirected,1
17,492,Undirected,1
18,20,Undirected,1
18,22,Undirected,1
18,55,Undirected,1
18,70,Undirected,1
18,71,Undirected,1
18,72,Undirected,1
18,99,Undirected,1
18,117,Undirected,1
18,124,Undirected,1
18,135,Undirected,1
18,150,Undirected,1
18,152,Undirected,1
18,205,Undirected,1
18,271,Undirected,1
18,283,Undirected,1
18,284,Undirected,1
18,301,Undirected,1
18,302,Undirected,1
18,332,Undirected,1
18,345,Undirected,1
18,389,Undirected,1
18,401,Undirected,1
18,408,Undirected,1
18,412,Undirected,1
18,414,Undirected,1
18,432,Undirected,1
18,441,Undirected,1
18,459,Undirected,1
18,485,Undirected,1
18,492,Undirected,1
19,55,Undirected,1
19,57,Undirected,1
19,72,Undirected,1
19,74,Undirected,1
19,275,Undirected,1
19,332,Undirected,1
19,350,Undirected,1
19,401,Undirected,1
19,430,Undirected,1
19,432,Undirected,1
19,441,Undirected,1
19,442,Undirected,1
19,462,Undirected,1
19,465,Undirected,1
19,467,Undirected,1
20,22,Undirected,1
20,27,Undirected,1
20,45,Undirected,1
20,55,Undirected,1
20,70,Undirected,1
20,72,Undirected,1
20,117,Undirected,1
20,124,Undirected,1
20,135,Undirected,1
20,145,Undirected,1
20,148,Undirected,1
20,150,Undirected,1
20,151,Undirected,1
20,152,Undirected,1
20,207,Undirected,1
20,256,Undirected,1
20,268,Undirected,1
20,283,Undirected,1
20,301,Undirected,1
20,389,Undirected,1
20,391,Undirected,1
20,401,Undirected,1
20,414,Undirected,1
20,459,Undirected,1
20,484,Undirected,1
20,492,Undirected,1
21,39,Undirected,1
21,69,Undirected,1
21,95,Undirected,1
21,99,Undirected,1
21,125,Undirected,1
21,127,Undirected,1
21,132,Undirected,1
21,143,Undirected,1
21,190,Undirected,1
21,205,Undirected,1
21,288,Undirected,1
21,302,Undirected,1
21,325,Undirected,1
21,332,Undirected,1
21,350,Undirected,1
21,361,Undirected,1
21,369,Undirected,1
21,395,Undirected,1
21,412,Undirected,1
21,433,Undirected,1
21,441,Undirected,1
21,442,Undirected,1
21,444,Undirected,1
21,462,Undirected,1
21,480,Undirected,1
21,485,Undirected,1
22,45,Undirected,1
22,71,Undirected,1
22,81,Undirected,1
22,89,Undirected,1
22,117,Undirected,1
22,124,Undirected,1
22,150,Undirected,1
22,152,Undirected,1
22,175,Undirected,1
22,205,Undirected,1
22,257,Undirected,1
22,268,Undirected,1
22,271,Undirected,1
22,283,Undirected,1
22,284,Undirected,1
22,301,Undirected,1
22,345,Undirected,1
22,389,Undirected,1
22,406,Undirected,1
22,408,Undirected,1
22,412,Undirected,1
22,414,Undirected,1
22,449,Undirected,1
22,455,Undirected,1
22,459,Undirected,1
22,485,Undirected,1
22,492,Undirected,1
23,37,Undirected,1
23,45,Undirected,1
23,89,Undirected,1
23,148,Undirected,1
23,151,Undirected,1
23,152,Undirected,1
23,207,Undirected,1
23,217,Undirected,1
23,253,Undirected,1
23,256,Undirected,1
23,268,Undirected,1
23,282,Undirected,1
23,293,Undirected,1
23,295,Undirected,1
23,308,Undirected,1
23,356,Undirected,1
23,384,Undirected,1
23,414,Undirected,1
23,449,Undirected,1
23,477,Undirected,1
23,479,Undirected,1
23,484,Undirected,1
24,30,Undirected,1
24,31,Undirected,1
24,32,Undirected,1
24,33,Undirected,1
24,34,Undirected,1
24,49,Undirected,1
24,79,Undirected,1
24,91,Undirected,1
24,113,Undirected,1
24,130,Undirected,1
24,131,Undirected,1
24,138,Undirected,1
24,172,Undirected,1
24,198,Undirected,1
24,206,Undirected,1
24,215,Undirected,1
24,220,Undirected,1
24,222,Undirected,1
24,227,Undirected,1
24,231,Undirected,1
24,235,Undirected,1
24,266,Undirected,1
24,291,Undirected,1
24,326,Undirected,1
24,379,Undirected,1
24,422,Undirected,1
24,439,Undirected,1
24,445,Undirected,1
24,457,Undirected,1
24,483,Undirected,1
25,42,Undirected,1
25,86,Undirected,1
25,93,Undirected,1
25,102,Undirected,1
25,108,Undirected,1
25,123,Undirected,1
25,159,Undirected,1
25,192,Undirected,1
25,236,Undirected,1
25,238,Undirected,1
25,263,Undirected,1
25,265,Undirected,1
25,309,Undirected,1
25,358,Undirected,1
25,388,Undirected,1
25,404,Undirected,1
25,409,Undirected,1
25,437,Undirected,1
25,474,Undirected,1
26,29,Undirected,1
26,76,Undirected,1
26,100,Undirected,1
26,121,Undirected,1
26,137,Undirected,1
26,155,Undirected,1
26,160,Undirected,1
26,168,Undirected,1
26,169,Undirected,1
26,182,Undirected,1
26,188,Undirected,1
26,194,Undirected,1
26,232,Undirected,1
26,242,Undirected,1
26,244,Undirected,1
26,249,Undirected,1
26,267,Undirected,1
26,295,Undirected,1
26,346,Undirected,1
26,348,Undirected,1
26,359,Undirected,1
26,385,Undirected,1
26,393,Undirected,1
26,410,Undirected,1
26,473,Undirected,1
26,489,Undirected,1
26,493,Undirected,1
26,494,Undirected,1
27,37,Undirected,1
27,70,Undirected,1
27,97,Undirected,1
27,135,Undirected,1
27,145,Undirected,1
27,148,Undirected,1
27,151,Undirected,1
27,152,Undirected,1
27,207,Undirected,1
27,213,Undirected,1
27,230,Undirected,1
27,256,Undirected,1
27,268,Undirected,1
27,282,Undirected,1
27,310,Undirected,1
27,366,Undirected,1
27,374,Undirected,1
27,391,Undirected,1
27,411,Undirected,1
27,414,Undirected,1
27,469,Undirected,1
27,479,Undirected,1
27,484,Undirected,1
28,62,Undirected,1
28,65,Undirected,1
28,77,Undirected,1
28,103,Undirected,1
28,146,Undirected,1
28,154,Undirected,1
28,164,Undirected,1
28,181,Undirected,1
28,223,Undirected,1
28,315,Undirected,1
28,328,Undirected,1
28,355,Undirected,1
28,383,Undirected,1
28,388,Undirected,1
28,404,Undirected,1
28,423,Undirected,1
28,426,Undirected,1
28,427,Undirected,1
28,429,Undirected,1
28,431,Undirected,1
28,440,Undirected,1
28,456,Undirected,1
28,488,Undirected,1
29,76,Undirected,1
29,121,Undirected,1
29,137,Undirected,1
29,155,Undirected,1
29,160,Undirected,1
29,168,Undirected,1
29,169,Undirected,1
29,182,Undirected,1
29,188,Undirected,1
29,194,Undirected,1
29,232,Undirected,1
29,242,Undirected,1
29,244,Undirected,1
29,249,Undirected,1
29,267,Undirected,1
29,339,Undirected,1
29,346,Undirected,1
29,348,Undirected,1
29,359,Undirected,1
29,385,Undirected,1
29,410,Undirected,1
29,443,Undirected,1
29,473,Undirected,1
29,489,Undirected,1
29,493,Undirected,1
29,494,Undirected,1
30,31,Undirected,1
30,32,Undirected,1
30,63,Undirected,1
30,79,Undirected,1
30,87,Undirected,1
30,91,Undirected,1
30,113,Undirected,1
30,130,Undirected,1
30,138,Undirected,1
30,165,Undirected,1
30,186,Undirected,1
30,198,Undirected,1
30,215,Undirected,1
30,220,Undirected,1
30,225,Undirected,1
30,227,Undirected,1
30,266,Undirected,1
30,270,Undirected,1
30,291,Undirected,1
30,314,Undirected,1
30,326,Undirected,1
30,362,Undirected,1
30,381,Undirected,1
30,419,Undirected,1
30,422,Undirected,1
30,428,Undirected,1
30,443,Undirected,1
30,445,Undirected,1
31,32,Undirected,1
31,40,Undirected,1
31,56,Undirected,1
31,63,Undirected,1
31,79,Undirected,1
31,87,Undirected,1
31,91,Undirected,1
31,96,Undirected,1
31,113,Undirected,1
31,130,Undirected,1
31,138,Undirected,1
31,165,Undirected,1
31,186,Undirected,1
31,198,Undirected,1
31,227,Undirected,1
31,270,Undirected,1
31,291,Undirected,1
31,331,Undirected,1
31,362,Undirected,1
31,381,Undirected,1
31,419,Undirected,1
31,422,Undirected,1
31,428,Undirected,1
31,445,Undirected,1
31,457,Undirected,1
32,40,Undirected,1
32,56,Undirected,1
32,63,Undirected,1
32,79,Undirected,1
32,87,Undirected,1
32,91,Undirected,1
32,96,Undirected,1
32,113,Undirected,1
32,130,Undirected,1
32,138,Undirected,1
32,165,Undirected,1
32,172,Undirected,1
32,186,Undirected,1
32,198,Undirected,1
32,220,Undirected,1
32,222,Undirected,1
32,227,Undirected,1
32,291,Undirected,1
32,362,Undirected,1
32,419,Undirected,1
32,422,Undirected,1
32,445,Undirected,1
32,457,Undirected,1
32,483,Undirected,1
33,36,Undirected,1
33,49,Undirected,1
33,162,Undirected,1
33,206,Undirected,1
33,220,Undirected,1
33,221,Undirected,1
33,231,Undirected,1
33,235,Undirected,1
33,292,Undirected,1
33,312,Undirected,1
33,326,Undirected,1
33,379,Undirected,1
33,439,Undirected,1
34,49,Undirected,1
34,79,Undirected,1
34,113,Undirected,1
34,130,Undirected,1
34,172,Undirected,1
34,198,Undirected,1
34,199,Undirected,1
34,219,Undirected,1
34,220,Undirected,1
34,222,Undirected,1
34,231,Undirected,1
34,235,Undirected,1
34,367,Undirected,1
34,379,Undirected,1
34,403,Undirected,1
34,439,Undirected,1
34,445,Undirected,1
34,457,Undirected,1
34,482,Undirected,1
34,483,Undirected,1
35,38,Undirected,1
35,94,Undirected,1
35,112,Undirected,1
35,216,Undirected,1
35,226,Undirected,1
35,228,Undirected,1
35,285,Undirected,1
35,320,Undirected,1
35,327,Undirected,1
35,400,Undirected,1
35,481,Undirected,1
35,495,Undirected,1
36,98,Undirected,1
36,162,Undirected,1
36,185,Undirected,1
36,206,Undirected,1
36,221,Undirected,1
36,292,Undirected,1
36,312,Undirected,1
36,499,Undirected,1
37,45,Undirected,1
37,50,Undirected,1
37,82,Undirected,1
37,97,Undirected,1
37,148,Undirected,1
37,151,Undirected,1
37,152,Undirected,1
37,157,Undirected,1
37,167,Undirected,1
37,207,Undirected,1
37,213,Undirected,1
37,217,Undirected,1
37,256,Undirected,1
37,268,Undirected,1
37,282,Undirected,1
37,308,Undirected,1
37,310,Undirected,1
37,366,Undirected,1
37,384,Undirected,1
37,411,Undirected,1
37,414,Undirected,1
37,469,Undirected,1
37,477,Undirected,1
37,479,Undirected,1
37,484,Undirected,1
38,94,Undirected,1
38,112,Undirected,1
38,116,Undirected,1
38,191,Undirected,1
38,216,Undirected,1
38,226,Undirected,1
38,228,Undirected,1
38,252,Undirected,1
38,280,Undirected,1
38,285,Undirected,1
38,320,Undirected,1
38,327,Undirected,1
38,392,Undirected,1
38,400,Undirected,1
38,495,Undirected,1
39,46,Undirected,1
39,81,Undirected,1
39,85,Undirected,1
39,99,Undirected,1
39,119,Undirected,1
39,125,Undirected,1
39,175,Undirected,1
39,190,Undirected,1
39,204,Undirected,1
39,205,Undirected,1
39,257,Undirected,1
39,259,Undirected,1
39,261,Undirected,1
39,271,Undirected,1
39,284,Undirected,1
39,288,Undirected,1
39,302,Undirected,1
39,332,Undirected,1
39,340,Undirected,1
39,345,Undirected,1
39,369,Undirected,1
39,373,Undirected,1
39,412,Undirected,1
39,433,Undirected,1
39,485,Undirected,1
40,56,Undirected,1
40,79,Undirected,1
40,83,Undirected,1
40,87,Undirected,1
40,90,Undirected,1
40,96,Undirected,1
40,113,Undirected,1
40,130,Undirected,1
40,138,Undirected,1
40,147,Undirected,1
40,172,Undirected,1
40,198,Undirected,1
40,219,Undirected,1
40,222,Undirected,1
40,279,Undirected,1
40,287,Undirected,1
40,344,Undirected,1
40,362,Undirected,1
40,445,Undirected,1
40,457,Undirected,1
41,46,Undirected,1
41,59,Undirected,1
41,75,Undirected,1
41,80,Undirected,1
41,115,Undirected,1
41,119,Undirected,1
41,156,Undirected,1
41,204,Undirected,1
41,262,Undirected,1
41,313,Undirected,1
41,340,Undirected,1
41,371,Undirected,1
41,372,Undirected,1
41,436,Undirected,1
41,451,Undirected,1
41,476,Undirected,1
41,500,Undirected,1
42,93,Undirected,1
42,102,Undirected,1
42,108,Undirected,1
42,123,Undirected,1
42,192,Undirected,1
42,236,Undirected,1
42,238,Undirected,1
42,263,Undirected,1
42,265,Undirected,1
42,299,Undirected,1
42,309,Undirected,1
42,409,Undirected,1
42,437,Undirected,1
43,61,Undirected,1
43,114,Undirected,1
43,126,Undirected,1
43,136,Undirected,1
43,139,Undirected,1
43,158,Undirected,1
43,163,Undirected,1
43,176,Undirected,1
43,210,Undirected,1
43,214,Undirected,1
43,248,Undirected,1
43,274,Undirected,1
43,277,Undirected,1
43,286,Undirected,1
43,317,Undirected,1
43,321,Undirected,1
43,338,Undirected,1
43,375,Undirected,1
43,397,Undirected,1
43,417,Undirected,1
43,464,Undirected,1
43,468,Undirected,1
44,48,Undirected,1
44,64,Undirected,1
44,88,Undirected,1
44,107,Undirected,1
44,116,Undirected,1
44,118,Undirected,1
44,141,Undirected,1
44,173,Undirected,1
44,180,Undirected,1
44,193,Undirected,1
44,239,Undirected,1
44,269,Undirected,1
44,280,Undirected,1
44,289,Undirected,1
44,336,Undirected,1
44,349,Undirected,1
44,353,Undirected,1
44,365,Undirected,1
44,368,Undirected,1
44,382,Undirected,1
44,418,Undirected,1
44,420,Undirected,1
44,421,Undirected,1
44,434,Undirected,1
44,447,Undirected,1
44,453,Undirected,1
44,466,Undirected,1
45,67,Undirected,1
45,71,Undirected,1
45,89,Undirected,1
45,105,Undirected,1
45,117,Undirected,1
45,148,Undirected,1
45,151,Undirected,1
45,152,Undirected,1
45,217,Undirected,1
45,256,Undirected,1
45,268,Undirected,1
45,276,Undirected,1
45,293,Undirected,1
45,356,Undirected,1
45,377,Undirected,1
45,406,Undirected,1
45,408,Undirected,1
45,414,Undirected,1
45,449,Undirected,1
45,455,Undirected,1
45,484,Undirected,1
45,492,Undirected,1
46,59,Undirected,1
46,69,Undirected,1
46,75,Undirected,1
46,80,Undirected,1
46,85,Undirected,1
46,111,Undirected,1
46,119,Undirected,1
46,143,Undirected,1
46,156,Undirected,1
46,190,Undirected,1
46,204,Undirected,1
46,259,Undirected,1
46,272,Undirected,1
46,288,Undirected,1
46,340,Undirected,1
46,369,Undirected,1
46,371,Undirected,1
46,372,Undirected,1
46,373,Undirected,1
46,444,Undirected,1
46,451,Undirected,1
46,454,Undirected,1
46,480,Undirected,1
46,500,Undirected,1
47,73,Undirected,1
47,82,Undirected,1
47,92,Undirected,1
47,100,Undirected,1
47,121,Undirected,1
47,142,Undirected,1
47,174,Undirected,1
47,182,Undirected,1
47,241,Undirected,1
47,295,Undirected,1
47,296,Undirected,1
47,318,Undirected,1
47,334,Undirected,1
47,337,Undirected,1
47,341,Undirected,1
47,376,Undirected,1
47,384,Undirected,1
47,393,Undirected,1
47,424,Undirected,1
47,438,Undirected,1
47,461,Undirected,1
47,477,Undirected,1
47,489,Undirected,1
48,88,Undirected,1
48,107,Undirected,1
48,116,Undirected,1
48,118,Undirected,1
48,141,Undirected,1
48,173,Undirected,1
48,180,Undirected,1
48,193,Undirected,1
48,195,Undirected,1
48,228,Undirected,1
48,239,Undirected,1
48,269,Undirected,1
48,280,Undirected,1
48,311,Undirected,1
48,336,Undirected,1
48,349,Undirected,1
48,353,Undirected,1
48,378,Undirected,1
48,392,Undirected,1
48,418,Undirected,1
48,420,Undirected,1
48,421,Undirected,1
48,434,Undirected,1
48,447,Undirected,1
48,453,Undirected,1
49,79,Undirected,1
49,113,Undirected,1
49,162,Undirected,1
49,172,Undirected,1
49,199,Undirected,1
49,206,Undirected,1
49,220,Undirected,1
49,222,Undirected,1
49,231,Undirected,1
49,235,Undirected,1
49,326,Undirected,1
49,367,Undirected,1
49,379,Undirected,1
49,403,Undirected,1
49,439,Undirected,1
49,482,Undirected,1
49,483,Undirected,1
50,58,Undirected,1
50,73,Undirected,1
50,82,Undirected,1
50,92,Undirected,1
50,97,Undirected,1
50,110,Undirected,1
50,148,Undirected,1
50,149,Undirected,1
50,157,Undirected,1
50,167,Undirected,1
50,174,Undirected,1
50,213,Undirected,1
50,217,Undirected,1
50,282,Undirected,1
50,308,Undirected,1
50,310,Undirected,1
50,318,Undirected,1
50,337,Undirected,1
50,366,Undirected,1
50,384,Undirected,1
50,411,Undirected,1
50,438,Undirected,1
50,461,Undirected,1
50,469,Undirected,1
50,477,Undirected,1
50,479,Undirected,1
51,84,Undirected,1
51,122,Undirected,1
51,129,Undirected,1
51,133,Undirected,1
51,140,Undirected,1
51,171,Undirected,1
51,176,Undirected,1
51,179,Undirected,1
51,286,Undirected,1
51,287,Undirected,1
51,330,Undirected,1
51,390,Undirected,1
51,402,Undirected,1
51,435,Undirected,1
51,450,Undirected,1
51,468,Undirected,1
51,486,Undirected,1
52,58,Undirected,1
52,97,Undirected,1
52,110,Undirected,1
52,149,Undirected,1
52,157,Undirected,1
52,161,Undirected,1
52,167,Undirected,1
52,213,Undirected,1
52,230,Undirected,1
52,250,Undirected,1
52,310,Undirected,1
52,316,Undirected,1
52,357,Undirected,1
52,366,Undirected,1
52,374,Undirected,1
52,382,Undirected,1
52,411,Undirected,1
52,438,Undirected,1
52,469,Undirected,1
52,479,Undirected,1
52,497,Undirected,1
53,66,Undirected,1
53,68,Undirected,1
53,78,Undirected,1
53,170,Undirected,1
53,184,Undirected,1
53,189,Undirected,1
53,226,Undirected,1
53,229,Undirected,1
53,234,Undirected,1
53,237,Undirected,1
53,255,Undirected,1
53,258,Undirected,1
53,278,Undirected,1
53,290,Undirected,1
53,294,Undirected,1
53,303,Undirected,1
53,304,Undirected,1
53,335,Undirected,1
53,351,Undirected,1
53,363,Undirected,1
53,405,Undirected,1
53,472,Undirected,1
53,487,Undirected,1
54,59,Undirected,1
54,75,Undirected,1
54,158,Undirected,1
54,203,Undirected,1
54,248,Undirected,1
54,272,Undirected,1
54,274,Undirected,1
54,454,Undirected,1
54,476,Undirected,1
54,478,Undirected,1
55,70,Undirected,1
55,72,Undirected,1
55,124,Undirected,1
55,135,Undirected,1
55,145,Undirected,1
55,150,Undirected,1
55,271,Undirected,1
55,283,Undirected,1
55,301,Undirected,1
55,389,Undirected,1
55,391,Undirected,1
55,401,Undirected,1
55,414,Undirected,1
55,432,Undirected,1
55,459,Undirected,1
55,484,Undirected,1
55,492,Undirected,1
56,79,Undirected,1
56,83,Undirected,1
56,87,Undirected,1
56,91,Undirected,1
56,96,Undirected,1
56,113,Undirected,1
56,130,Undirected,1
56,138,Undirected,1
56,147,Undirected,1
56,165,Undirected,1
56,172,Undirected,1
56,186,Undirected,1
56,198,Undirected,1
56,219,Undirected,1
56,222,Undirected,1
56,279,Undirected,1
56,287,Undirected,1
56,330,Undirected,1
56,362,Undirected,1
56,419,Undirected,1
56,422,Undirected,1
56,445,Undirected,1
56,457,Undirected,1
57,74,Undirected,1
57,95,Undirected,1
57,127,Undirected,1
57,275,Undirected,1
57,332,Undirected,1
57,350,Undirected,1
57,395,Undirected,1
57,430,Undirected,1
57,432,Undirected,1
57,441,Undirected,1
57,442,Undirected,1
57,462,Undirected,1
57,465,Undirected,1
57,467,Undirected,1
58,64,Undirected,1
58,73,Undirected,1
58,97,Undirected,1
58,110,Undirected,1
58,118,Undirected,1
58,141,Undirected,1
58,149,Undirected,1
58,157,Undirected,1
58,167,Undirected,1
58,193,Undirected,1
58,310,Undirected,1
58,316,Undirected,1
58,329,Undirected,1
58,357,Undirected,1
58,366,Undirected,1
58,411,Undirected,1
58,438,Undirected,1
58,460,Undirected,1
59,75,Undirected,1
59,80,Undirected,1
59,156,Undirected,1
59,204,Undirected,1
59,340,Undirected,1
59,371,Undirected,1
59,372,Undirected,1
59,451,Undirected,1
59,476,Undirected,1
59,478,Undirected,1
59,500,Undirected,1
60,145,Undirected,1
60,170,Undirected,1
60,178,Undirected,1
60,218,Undirected,1
60,229,Undirected,1
